epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.062,1.7679,1.90216,0.83893,0.98983,0.30743,0.31768,0.19751,1.38129,0.76606,0.76028,0.000474812,0.000474812,0.000474812
2,84.0211,1.54024,1.01023,0.81385,0.98989,0.31426,0.32379,0.24551,0.96518,0.49496,0.74587,0.000941729,0.000941729,0.000941729
3,123.151,1.47516,0.78055,0.80976,0.99354,0.31389,0.32396,0.22576,1.09887,0.54529,0.74943,0.00139921,0.00139921,0.00139921
4,161.885,1.42825,0.69342,0.80774,0.99373,0.3167,0.32688,0.23644,1.10604,0.499,0.74819,0.00138656,0.00138656,0.00138656
5,199.717,1.3433,0.65024,0.80389,0.99309,0.31844,0.32602,0.24987,0.94647,0.45526,0.75467,0.00137241,0.00137241,0.00137241
6,237.48,1.31656,0.61461,0.80342,0.99375,0.31993,0.32741,0.23032,1.20227,0.53142,0.75423,0.00135826,0.00135826,0.00135826
7,275.17,1.22875,0.58695,0.79984,0.99504,0.31797,0.3271,0.22305,1.27934,0.59587,0.75372,0.00134412,0.00134412,0.00134412
8,312.942,1.21302,0.57915,0.79971,0.99548,0.3204,0.32777,0.28097,0.76534,0.4306,0.74849,0.00132997,0.00132997,0.00132997
9,350.671,1.22432,0.58272,0.79864,0.99373,0.32017,0.32739,0.2437,1.08827,0.53704,0.75117,0.00131582,0.00131582,0.00131582
10,388.391,1.21233,0.57352,0.79939,0.99512,0.31866,0.32762,0.1817,1.62052,0.69797,0.77371,0.00130168,0.00130168,0.00130168
11,427.126,1.15918,0.56035,0.79724,0.99608,0.31999,0.32797,0.28718,0.75547,0.44549,0.74249,0.00128753,0.00128753,0.00128753
12,466.584,1.16785,0.55655,0.79675,0.99627,0.32019,0.32795,0.27724,0.84346,0.47445,0.7423,0.00127338,0.00127338,0.00127338
13,504.38,1.14858,0.55513,0.79536,0.99585,0.32213,0.32882,0.28014,0.83685,0.47,0.74591,0.00125923,0.00125923,0.00125923
14,542.505,1.14824,0.5553,0.79532,0.99566,0.32066,0.32849,0.25049,1.01407,0.49626,0.7462,0.00124509,0.00124509,0.00124509
15,581.016,1.11637,0.54841,0.79386,0.99589,0.32042,0.32817,0.21649,1.32262,0.61573,0.75873,0.00123094,0.00123094,0.00123094
16,621.882,1.1054,0.54627,0.79366,0.99752,0.32006,0.3298,0.27644,0.81103,0.45969,0.7481,0.00121679,0.00121679,0.00121679
17,660.177,1.10225,0.54676,0.79296,0.65902,0.33133,0.32916,0.28491,0.71411,0.45436,0.74445,0.00120265,0.00120265,0.00120265
18,697.814,1.08408,0.53858,0.7921,0.99702,0.32219,0.32937,0.27451,0.83772,0.43076,0.75037,0.0011885,0.0011885,0.0011885
19,735.307,1.08045,0.53681,0.79083,0.67226,0.3404,0.33226,0.26956,0.80782,0.46848,0.74709,0.00117435,0.00117435,0.00117435
20,773.802,1.05841,0.54166,0.79071,0.99714,0.32066,0.32937,0.26352,0.88073,0.4708,0.744,0.00116021,0.00116021,0.00116021
21,811.874,1.07754,0.54159,0.79111,0.34488,0.35739,0.3374,0.27013,0.88987,0.4961,0.74698,0.00114606,0.00114606,0.00114606
22,850.667,1.06146,0.53977,0.79068,0.67885,0.33446,0.33219,0.26816,0.82517,0.49197,0.74778,0.00113191,0.00113191,0.00113191
23,888.536,1.04851,0.52886,0.79085,0.36932,0.39471,0.35046,0.27516,0.84885,0.46312,0.74649,0.00111776,0.00111776,0.00111776
24,926.086,1.03895,0.53127,0.7896,0.68686,0.35333,0.33738,0.25174,1.01643,0.52254,0.74743,0.00110362,0.00110362,0.00110362
25,963.404,1.03317,0.52138,0.79091,0.40475,0.47371,0.39189,0.29467,0.74956,0.43758,0.74664,0.00108947,0.00108947,0.00108947
26,1002.81,1.02098,0.51949,0.78937,0.39226,0.39626,0.35856,0.26626,0.9534,0.5023,0.74634,0.00107532,0.00107532,0.00107532
27,1040.11,1.03972,0.52211,0.78999,0.34426,0.34653,0.33632,0.27661,0.75147,0.44738,0.74645,0.00106118,0.00106118,0.00106118
28,1076.79,1.0143,0.52379,0.78916,0.40852,0.45613,0.38828,0.28435,0.83661,0.48262,0.74635,0.00104703,0.00104703,0.00104703
29,1112.55,1.01332,0.5203,0.78852,0.3736,0.38886,0.35449,0.27789,0.77781,0.47672,0.74361,0.00103288,0.00103288,0.00103288
30,1148.61,0.99489,0.51808,0.78886,0.68364,0.36213,0.33999,0.27206,0.84509,0.48639,0.75253,0.00101873,0.00101873,0.00101873
31,1184.38,1.0097,0.5212,0.78864,0.39331,0.49426,0.38215,0.30141,0.62821,0.45266,0.74679,0.00100459,0.00100459,0.00100459
32,1221.38,0.99757,0.52143,0.7896,0.36553,0.3898,0.35426,0.25383,0.98345,0.52576,0.75136,0.00099044,0.00099044,0.00099044
33,1258.31,1.0001,0.52329,0.78974,0.74042,0.44255,0.38515,0.2917,0.72327,0.48716,0.74336,0.000976293,0.000976293,0.000976293
34,1295.46,1.00092,0.51831,0.78901,0.71062,0.40779,0.35689,0.27598,0.85721,0.47937,0.74216,0.000962146,0.000962146,0.000962146
