epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6433,1.97393,2.11117,0.85443,0.94186,0.87478,0.93669,0.62269,1.15792,1.42305,0.75429,0.000661333,0.000661333,0.000661333
2,33.311,1.67056,1.09557,0.81995,0.93725,0.912,0.95552,0.37676,2.0222,0.85159,0.79899,0.00131485,0.00131485,0.00131485
3,47.7018,1.55783,0.82732,0.81312,0.97259,0.92251,0.95927,0.52655,1.57382,0.6325,0.77182,0.00195517,0.00195517,0.00195517
4,61.9835,1.50612,0.70917,0.81285,0.98029,0.94485,0.97043,0.67698,1.15768,0.52631,0.75903,0.0019406,0.0019406,0.0019406
5,76.2974,1.41287,0.63585,0.80709,0.98647,0.94762,0.97656,0.72772,1.01227,0.47549,0.75153,0.0019208,0.0019208,0.0019208
6,90.5324,1.45398,0.63372,0.80701,0.97927,0.9447,0.9715,0.58251,1.40805,0.5837,0.77371,0.001901,0.001901,0.001901
7,104.826,1.34938,0.58099,0.80447,0.97962,0.95,0.9768,0.69231,1.12854,0.48692,0.75536,0.0018812,0.0018812,0.0018812
8,119.102,1.35469,0.57712,0.80325,0.98785,0.952,0.97383,0.74765,1.02562,0.45734,0.75844,0.0018614,0.0018614,0.0018614
9,133.833,1.2945,0.55718,0.80053,0.98835,0.954,0.97683,0.6744,1.20696,0.51963,0.75035,0.0018416,0.0018416,0.0018416
10,148.437,1.23597,0.52739,0.80176,0.97889,0.961,0.97839,0.82105,0.86287,0.43642,0.75216,0.0018218,0.0018218,0.0018218
11,163.055,1.22492,0.5278,0.798,0.98552,0.95268,0.97538,0.63836,1.33411,0.56024,0.76682,0.001802,0.001802,0.001802
12,177.357,1.26386,0.53508,0.80104,0.98537,0.946,0.97554,0.54848,1.56887,0.6244,0.76945,0.0017822,0.0017822,0.0017822
13,191.857,1.21073,0.51753,0.80013,0.98537,0.951,0.98006,0.78784,0.85423,0.43055,0.75726,0.0017624,0.0017624,0.0017624
14,206.859,1.19376,0.50636,0.79898,0.98826,0.959,0.97739,0.70724,1.07118,0.50349,0.75587,0.0017426,0.0017426,0.0017426
15,221.142,1.14817,0.49827,0.79584,0.97994,0.958,0.97889,0.87651,0.65577,0.39622,0.7514,0.0017228,0.0017228,0.0017228
16,235.446,1.09955,0.48875,0.79469,0.98556,0.95542,0.98103,0.82633,0.81168,0.42122,0.75123,0.001703,0.001703,0.001703
17,249.645,1.10527,0.491,0.79322,0.98133,0.957,0.9817,0.82517,0.85404,0.45083,0.74571,0.0016832,0.0016832,0.0016832
18,263.862,1.14631,0.49198,0.79545,0.99066,0.959,0.97972,0.82248,0.81949,0.42145,0.74586,0.0016634,0.0016634,0.0016634
19,278.151,1.12858,0.49253,0.79508,0.98834,0.959,0.98003,0.7117,1.13654,0.51892,0.76018,0.0016436,0.0016436,0.0016436
20,292.5,1.09001,0.4756,0.79443,0.99167,0.95257,0.97945,0.8474,0.77448,0.4156,0.75816,0.0016238,0.0016238,0.0016238
21,306.775,1.07806,0.47252,0.79312,0.99457,0.956,0.98106,0.78104,0.95868,0.45746,0.75524,0.001604,0.001604,0.001604
22,321.039,1.09437,0.4803,0.79298,0.99168,0.95361,0.98056,0.79284,0.85197,0.40663,0.74665,0.0015842,0.0015842,0.0015842
23,335.336,1.06797,0.4689,0.79434,0.99392,0.959,0.97887,0.7523,1.02326,0.47837,0.75411,0.0015644,0.0015644,0.0015644
24,349.698,1.06703,0.471,0.79375,0.99275,0.95855,0.9793,0.80633,0.86189,0.42987,0.74961,0.0015446,0.0015446,0.0015446
25,364.078,1.03509,0.46121,0.79368,0.99173,0.95911,0.97722,0.69863,1.09212,0.51722,0.75322,0.0015248,0.0015248,0.0015248
26,378.399,1.02589,0.45888,0.79133,0.9905,0.961,0.98292,0.72739,1.1287,0.5339,0.75376,0.001505,0.001505,0.001505
27,392.663,1.01102,0.45834,0.7931,0.99173,0.9596,0.98108,0.73272,1.02576,0.50423,0.75332,0.0014852,0.0014852,0.0014852
28,407.036,1.04025,0.46592,0.79135,0.9922,0.96,0.98323,0.82672,0.84009,0.41693,0.75054,0.0014654,0.0014654,0.0014654
29,421.406,1.03951,0.45766,0.79282,0.99069,0.95813,0.98102,0.77345,0.92624,0.44924,0.75302,0.0014456,0.0014456,0.0014456
30,435.702,1.0241,0.45596,0.79146,0.98991,0.95,0.98098,0.79064,0.99108,0.45627,0.75176,0.0014258,0.0014258,0.0014258
31,450.323,1.02108,0.46037,0.79382,0.98865,0.95803,0.98159,0.8,0.85378,0.44338,0.74691,0.001406,0.001406,0.001406
32,464.685,1.02923,0.45922,0.79317,0.98336,0.963,0.98051,0.70217,1.117,0.50903,0.75402,0.0013862,0.0013862,0.0013862
33,478.938,0.99793,0.45022,0.79081,0.98658,0.963,0.98378,0.83351,0.84239,0.42545,0.75136,0.0013664,0.0013664,0.0013664
34,493.252,0.99954,0.45023,0.79226,0.99072,0.96134,0.98348,0.86899,0.71947,0.39248,0.74995,0.0013466,0.0013466,0.0013466
35,507.543,1.00485,0.45004,0.78911,0.98271,0.96596,0.98528,0.8651,0.72948,0.41607,0.75027,0.0013268,0.0013268,0.0013268
36,521.778,0.98438,0.44757,0.7892,0.99181,0.96868,0.98354,0.80719,0.89042,0.45862,0.74411,0.001307,0.001307,0.001307
37,536.124,0.98115,0.44733,0.7902,0.99114,0.965,0.98388,0.8289,0.7526,0.42289,0.74716,0.0012872,0.0012872,0.0012872
38,550.391,0.98433,0.43894,0.7889,0.99085,0.96,0.9834,0.77267,0.96783,0.44873,0.75193,0.0012674,0.0012674,0.0012674
39,564.698,1.02315,0.45243,0.79313,0.99346,0.964,0.98291,0.67497,1.24343,0.54067,0.7563,0.0012476,0.0012476,0.0012476
40,578.991,0.95725,0.44171,0.7886,0.99459,0.961,0.98347,0.73658,1.01135,0.48486,0.75466,0.0012278,0.0012278,0.0012278
41,593.292,0.99254,0.44259,0.7877,0.99896,0.96185,0.98391,0.78082,0.94424,0.45784,0.7507,0.001208,0.001208,0.001208
42,607.605,0.98848,0.45128,0.78917,0.99486,0.96696,0.98511,0.80066,0.99393,0.48887,0.75357,0.0011882,0.0011882,0.0011882
43,621.902,0.95815,0.43984,0.78743,0.9917,0.969,0.98379,0.89781,0.59186,0.3962,0.74145,0.0011684,0.0011684,0.0011684
44,636.236,0.96303,0.441,0.79158,0.99482,0.9598,0.98501,0.90383,0.55321,0.3651,0.74544,0.0011486,0.0011486,0.0011486
45,650.557,0.95409,0.43054,0.78766,0.99077,0.96633,0.98355,0.85067,0.7421,0.40202,0.74205,0.0011288,0.0011288,0.0011288
46,664.783,0.95243,0.44061,0.7889,0.98774,0.96697,0.98367,0.85304,0.74757,0.41404,0.74486,0.001109,0.001109,0.001109
47,679.036,0.96551,0.4339,0.78663,0.98876,0.96779,0.9842,0.85676,0.76339,0.43382,0.74512,0.0010892,0.0010892,0.0010892
48,693.279,0.93429,0.44184,0.78585,0.99278,0.964,0.98453,0.87922,0.70185,0.401,0.74737,0.0010694,0.0010694,0.0010694
49,707.642,0.93845,0.44236,0.78725,0.99106,0.968,0.98426,0.81898,0.87254,0.46762,0.74908,0.0010496,0.0010496,0.0010496
50,721.909,0.93108,0.44576,0.78837,0.99589,0.96836,0.98471,0.76928,0.89351,0.478,0.74956,0.0010298,0.0010298,0.0010298
51,736.217,0.94483,0.44517,0.78839,0.9942,0.962,0.98483,0.86247,0.65521,0.408,0.74073,0.00101,0.00101,0.00101
52,750.526,0.94888,0.43802,0.78797,0.98774,0.96706,0.98366,0.84481,0.72711,0.42244,0.74519,0.0009902,0.0009902,0.0009902
53,764.874,0.93806,0.44212,0.7867,0.99163,0.968,0.98479,0.76325,0.91086,0.49097,0.74982,0.0009704,0.0009704,0.0009704
54,779.217,0.92972,0.44176,0.78814,0.99251,0.968,0.98431,0.80492,0.86427,0.46209,0.74815,0.0009506,0.0009506,0.0009506
55,793.511,0.93253,0.43707,0.78671,0.99181,0.9687,0.98476,0.85009,0.69219,0.41511,0.7403,0.0009308,0.0009308,0.0009308
56,807.784,0.95367,0.43832,0.78797,0.99411,0.965,0.9844,0.73273,0.96083,0.49839,0.74842,0.000911,0.000911,0.000911
57,822.128,0.94361,0.43227,0.78768,0.99029,0.97,0.9853,0.87341,0.62686,0.38971,0.7432,0.0008912,0.0008912,0.0008912
58,836.455,0.946,0.43355,0.7874,0.99383,0.9671,0.98526,0.85048,0.72727,0.42541,0.74821,0.0008714,0.0008714,0.0008714
59,851.103,0.91378,0.43896,0.78782,0.99474,0.97,0.98451,0.82426,0.76314,0.44053,0.74719,0.0008516,0.0008516,0.0008516
60,865.411,0.92365,0.44122,0.7857,0.99321,0.967,0.98305,0.81833,0.81701,0.46032,0.74865,0.0008318,0.0008318,0.0008318
61,879.71,0.89894,0.42862,0.78718,0.99337,0.969,0.984,0.75047,0.89604,0.50599,0.74974,0.000812,0.000812,0.000812
62,893.971,0.89592,0.43227,0.7862,0.99589,0.96988,0.98522,0.79464,0.82391,0.46566,0.74057,0.0007922,0.0007922,0.0007922
63,908.205,0.91335,0.43109,0.78732,0.99252,0.967,0.98495,0.82359,0.79785,0.44541,0.7499,0.0007724,0.0007724,0.0007724
64,922.441,0.90111,0.43227,0.78642,0.98772,0.96523,0.98454,0.87474,0.6058,0.40617,0.74646,0.0007526,0.0007526,0.0007526
65,936.77,0.8955,0.43178,0.78758,0.99222,0.967,0.98395,0.76603,0.92524,0.49199,0.74943,0.0007328,0.0007328,0.0007328
66,951.091,0.93194,0.43233,0.78734,0.98928,0.967,0.98617,0.92001,0.52499,0.38358,0.74616,0.000713,0.000713,0.000713
67,965.441,0.90201,0.43604,0.78689,0.99282,0.96745,0.98553,0.84988,0.69101,0.43808,0.74606,0.0006932,0.0006932,0.0006932
68,979.723,0.89176,0.4521,0.78599,0.99445,0.968,0.98501,0.87093,0.65635,0.43763,0.74448,0.0006734,0.0006734,0.0006734
69,994.059,0.88858,0.45635,0.78649,0.99075,0.97,0.98549,0.84979,0.68802,0.45748,0.74572,0.0006536,0.0006536,0.0006536
70,1008.31,0.87016,0.45241,0.78703,0.99203,0.97,0.98581,0.85539,0.65115,0.45149,0.74823,0.0006338,0.0006338,0.0006338
71,1022.55,0.86899,0.45676,0.78515,0.99526,0.97,0.98727,0.85037,0.65539,0.46055,0.74423,0.000614,0.000614,0.000614
72,1036.84,0.8799,0.44713,0.79016,0.99384,0.96865,0.98524,0.85446,0.67691,0.45677,0.74216,0.0005942,0.0005942,0.0005942
73,1051.12,0.88846,0.45226,0.78574,0.99283,0.969,0.9857,0.82202,0.72931,0.48439,0.74303,0.0005744,0.0005744,0.0005744
74,1065.42,0.86249,0.43969,0.78896,0.99384,0.96845,0.98448,0.81593,0.7668,0.45443,0.74678,0.0005546,0.0005546,0.0005546
75,1079.75,0.86569,0.44402,0.78844,0.99385,0.97013,0.98644,0.82742,0.69426,0.48748,0.74922,0.0005348,0.0005348,0.0005348
76,1094,0.86273,0.45808,0.78758,0.9979,0.963,0.98526,0.87565,0.5848,0.44116,0.74357,0.000515,0.000515,0.000515
77,1108.24,0.87822,0.44242,0.78456,0.99384,0.96807,0.98587,0.80561,0.83555,0.46861,0.74497,0.0004952,0.0004952,0.0004952
78,1122.59,0.885,0.43679,0.7871,0.99558,0.968,0.98483,0.86654,0.66003,0.434,0.74582,0.0004754,0.0004754,0.0004754
79,1136.85,0.86644,0.43988,0.78762,0.99386,0.97072,0.98594,0.80298,0.77904,0.49126,0.74597,0.0004556,0.0004556,0.0004556
80,1151.16,0.86527,0.44812,0.78694,0.99442,0.972,0.98672,0.82056,0.73797,0.47126,0.74537,0.0004358,0.0004358,0.0004358
81,1165.5,0.85158,0.45327,0.78691,0.99383,0.96709,0.98496,0.84445,0.62404,0.45923,0.74296,0.000416,0.000416,0.000416
82,1179.77,0.84642,0.45435,0.78797,0.99484,0.967,0.98583,0.8653,0.60693,0.45074,0.74485,0.0003962,0.0003962,0.0003962
