epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.42516,2.87423,9.95068,1.28504,0.00472,0.1405,0.00285,0.0012,3.00556,11.1481,1.5423,6e-05,6e-05,6e-05
2,2.34819,2.88489,9.67088,1.29595,0.00611,0.18182,0.00402,0.00141,3.02167,11.0607,1.51593,0.000137228,0.000137228,0.000137228
3,3.29794,3.16877,10.871,1.3265,0.35213,0.18182,0.15706,0.05387,2.80541,6.50689,1.1367,0.000211288,0.000211288,0.000211288
4,4.36343,2.50718,4.06572,1.04891,0.60049,0.42975,0.39609,0.11815,2.55292,4.76915,1.03221,0.00028218,0.00028218,0.00028218
5,5.39945,2.33132,2.68044,0.96146,0.4659,0.3749,0.31284,0.08235,2.75533,5.04856,1.0604,0.000349904,0.000349904,0.000349904
6,6.39267,2.19015,2.74815,0.95804,0.56737,0.2562,0.28416,0.08453,2.6604,4.63695,1.06531,0.00041446,0.00041446,0.00041446
7,7.36971,2.20934,2.03569,0.96141,0.04787,0.29752,0.0282,0.00853,2.75008,6.86494,1.03559,0.000475848,0.000475848,0.000475848
8,8.33699,2.1715,1.70656,0.94588,0.0574,0.26446,0.03194,0.00919,3.05691,6.57832,1.08884,0.000534068,0.000534068,0.000534068
9,9.31025,2.09291,1.47868,0.91236,0.01256,0.07438,0.00474,0.00128,4.06465,8.11234,1.34392,0.00058912,0.00058912,0.00058912
10,10.2894,2.13136,1.32414,0.92025,0.01314,0.04132,0.00319,0.00078,4.37302,10.2808,1.52706,0.000641004,0.000641004,0.000641004
11,11.2575,2.19183,1.23436,0.93394,0.00571,0.04132,0.00286,0.00076,3.9834,9.16263,1.23516,0.00068972,0.00068972,0.00068972
12,12.2212,1.95274,1.03395,0.90708,0.00874,0.07438,0.00352,0.00069,3.6367,10.7326,1.16282,0.000735268,0.000735268,0.000735268
13,13.1826,1.97042,1.01132,0.90898,0.00586,0.03306,0.00158,0.00039,4.2387,17.8179,1.40746,0.000777648,0.000777648,0.000777648
14,14.125,1.92566,0.93343,0.90125,0.00315,0.01653,0.0005,0.00011,4.94807,23.3507,1.59269,0.00081686,0.00081686,0.00081686
15,15.0727,1.88101,0.96569,0.90153,0.00512,0.02479,0.00112,0.00025,5.20469,14.8058,1.64009,0.000852904,0.000852904,0.000852904
16,16.003,1.99558,1.00113,0.91655,0.02067,0.05785,0.00441,0.0007,4.78758,5.999,1.62628,0.00088578,0.00088578,0.00088578
17,16.9358,2.02678,0.99254,0.9266,0.00616,0.03306,0.00163,0.00029,5.14635,7.20708,1.85265,0.000915488,0.000915488,0.000915488
18,17.8834,2.07591,0.93694,0.91736,0.00194,0.05785,0.00104,0.0002,5.03676,48.7499,1.91002,0.000942028,0.000942028,0.000942028
19,18.8258,2.03864,0.88495,0.94547,0.00306,0.09091,0.00192,0.00031,4.70832,40.6878,1.70537,0.0009654,0.0009654,0.0009654
20,19.757,1.9654,0.92343,0.9189,0.00252,0.02479,0.00081,0.00023,4.9236,32.4106,1.71439,0.000985604,0.000985604,0.000985604
21,20.7135,2.06261,0.88839,0.93043,0.00124,0.00826,0.00015,1e-05,5.38447,37.7212,1.86037,0.00100264,0.00100264,0.00100264
22,21.6623,2.0333,0.89972,0.90494,0.00083,0.02479,0.00043,4e-05,5.53633,32.7891,2.03533,0.00101651,0.00101651,0.00101651
23,22.5936,2.04323,0.91221,0.9212,0.00652,0.01653,0.00089,0.00018,5.38196,17.8346,1.99843,0.00102721,0.00102721,0.00102721
24,23.5859,2.00403,0.84581,0.91557,0.01339,0.01653,0.00136,0.00025,5.1457,11.5352,1.82957,0.00103474,0.00103474,0.00103474
25,24.5763,1.86514,0.83559,0.8858,0.27666,0.23967,0.12831,0.02117,3.88044,4.03736,1.33975,0.0010391,0.0010391,0.0010391
26,25.5126,1.93106,0.7988,0.89349,0.4391,0.33058,0.23856,0.04647,3.45781,2.2104,1.20237,0.00101,0.00101,0.00101
27,26.458,1.93278,0.8058,0.88619,0.44854,0.33058,0.24949,0.05715,3.24821,1.87016,1.1327,0.0009704,0.0009704,0.0009704
28,27.3852,1.84429,0.82004,0.87937,0.4659,0.36768,0.3041,0.07745,2.94739,1.41274,1.04963,0.0009308,0.0009308,0.0009308
29,28.313,1.88837,0.84874,0.90385,0.63975,0.45498,0.45898,0.1162,2.64817,1.29269,0.99696,0.0008912,0.0008912,0.0008912
30,29.3047,1.9943,0.85643,0.88429,0.67453,0.44534,0.48338,0.10624,2.84295,1.31901,1.02328,0.0008516,0.0008516,0.0008516
31,30.2384,2.01523,0.83484,0.88553,0.61253,0.43116,0.46,0.10542,2.93161,1.28447,1.04002,0.000812,0.000812,0.000812
32,31.1636,1.89932,0.84276,0.89102,0.79701,0.58409,0.61636,0.18915,2.46422,1.11558,0.97064,0.0007724,0.0007724,0.0007724
33,32.1116,1.90576,0.77866,0.89846,0.73034,0.5596,0.56802,0.22165,2.26248,1.03464,0.94661,0.0007328,0.0007328,0.0007328
34,33.0573,1.84897,0.78512,0.86485,0.73665,0.57795,0.58931,0.21359,2.33272,1.06173,0.95343,0.0006932,0.0006932,0.0006932
35,33.9823,1.86438,0.76459,0.88737,0.62367,0.47934,0.47452,0.10464,2.96548,1.28456,1.03741,0.0006536,0.0006536,0.0006536
36,34.9022,1.73632,0.75247,0.88325,0.43902,0.3719,0.3184,0.06494,3.40927,1.43897,1.11332,0.000614,0.000614,0.000614
37,35.8273,1.96081,0.8101,0.88197,0.57036,0.40496,0.40672,0.0844,3.16198,1.41975,1.06658,0.0005744,0.0005744,0.0005744
38,36.7545,1.77181,0.75823,0.87346,0.69862,0.52893,0.53529,0.16173,2.65313,1.21303,0.98901,0.0005348,0.0005348,0.0005348
39,37.6868,1.70532,0.73666,0.8525,0.77736,0.57714,0.58589,0.20575,2.43526,1.10221,0.96128,0.0004952,0.0004952,0.0004952
40,38.6182,1.80036,0.7445,0.8743,0.77735,0.57025,0.58167,0.21329,2.40995,1.06131,0.95946,0.0004556,0.0004556,0.0004556
41,40.6798,1.65275,0.7406,0.89437,0.81156,0.56951,0.58243,0.21466,2.4128,1.03369,0.9631,0.000416,0.000416,0.000416
42,41.8015,1.67217,0.73381,0.87541,0.83434,0.58275,0.61728,0.20117,2.47971,1.03937,0.9701,0.0003764,0.0003764,0.0003764
43,42.7358,1.70883,0.72855,0.89877,0.79817,0.55372,0.58984,0.21624,2.40134,1.00987,0.95813,0.0003368,0.0003368,0.0003368
44,43.6549,1.65421,0.73186,0.87587,0.82797,0.57025,0.62676,0.23347,2.22964,0.98748,0.93844,0.0002972,0.0002972,0.0002972
45,44.6014,1.62319,0.68968,0.88772,0.83876,0.57851,0.63722,0.23765,2.21387,0.9859,0.93724,0.0002576,0.0002576,0.0002576
46,45.5464,1.58382,0.68982,0.87662,0.82669,0.57851,0.63481,0.22968,2.2805,0.99622,0.94429,0.000218,0.000218,0.000218
47,46.4679,1.57539,0.68594,0.88494,0.81527,0.57851,0.63687,0.23304,2.28371,0.9952,0.94442,0.0001784,0.0001784,0.0001784
48,47.3815,1.58809,0.69968,0.88763,0.811,0.57851,0.63831,0.22989,2.27453,1.00078,0.94565,0.0001388,0.0001388,0.0001388
49,48.2954,1.60942,0.69042,0.89408,0.7991,0.57025,0.62389,0.23362,2.26038,0.99096,0.94383,9.92e-05,9.92e-05,9.92e-05
50,49.2042,1.63132,0.69934,0.88295,0.79877,0.57025,0.62365,0.23241,2.25244,0.98956,0.94282,5.96e-05,5.96e-05,5.96e-05
