epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2621,1.40023,1.69124,0.83155,0.91982,0.64469,0.7124,0.48905,1.76962,1.92094,0.89902,0.000661333,0.000661333,0.000661333
2,34.8674,1.15744,0.80366,0.80266,0.93214,0.67952,0.77295,0.4964,1.79087,0.9311,0.90283,0.00130171,0.00130171,0.00130171
3,50.3927,1.16844,0.67236,0.79997,0.88873,0.68258,0.71362,0.4519,1.9615,1.04445,0.93593,0.00191568,0.00191568,0.00191568
4,65.2359,1.14164,0.58411,0.80024,0.91321,0.68416,0.76776,0.53839,1.65703,0.82447,0.90677,0.0018812,0.0018812,0.0018812
5,80.2885,1.00584,0.50647,0.79359,0.89329,0.70274,0.77083,0.57321,1.53733,0.73189,0.89763,0.0018416,0.0018416,0.0018416
6,96.6328,1.00186,0.48991,0.79202,0.86881,0.74826,0.80146,0.52991,1.63267,0.77355,0.89353,0.001802,0.001802,0.001802
7,116.709,0.97881,0.4655,0.79275,0.94504,0.71389,0.85284,0.59272,1.52972,0.88161,0.87544,0.0017624,0.0017624,0.0017624
8,137.121,0.92441,0.44441,0.79147,0.89685,0.73502,0.81591,0.62057,1.39425,0.71615,0.88314,0.0017228,0.0017228,0.0017228
9,153.244,0.89972,0.43116,0.78845,0.89372,0.75894,0.83684,0.6188,1.38634,0.65217,0.88278,0.0016832,0.0016832,0.0016832
10,168.144,0.91742,0.43459,0.78854,0.93919,0.71714,0.8367,0.64714,1.40204,0.79569,0.87716,0.0016436,0.0016436,0.0016436
11,183.783,0.86374,0.42168,0.78806,0.91035,0.75934,0.85706,0.61169,1.46378,0.70966,0.87709,0.001604,0.001604,0.001604
12,198.668,0.88739,0.41502,0.78801,0.9307,0.72875,0.83942,0.63058,1.38004,0.7031,0.87829,0.0015644,0.0015644,0.0015644
13,213.574,0.86702,0.41115,0.78652,0.88076,0.76869,0.84151,0.6104,1.44515,0.65961,0.88376,0.0015248,0.0015248,0.0015248
14,228.405,0.83836,0.39693,0.78524,0.86941,0.80091,0.86102,0.63454,1.34041,0.64161,0.8708,0.0014852,0.0014852,0.0014852
