epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15458,2.4853,2.98277,0.94341,0.02523,0.75776,0.02605,0.00823,2.65702,3.42406,0.90402,0.000656085,0.000656085,0.000656085
2,17.3285,1.96785,1.42283,0.83275,0.85731,0.84803,0.88709,0.44134,1.74323,1.28617,0.78213,0.00129656,0.00129656,0.00129656
3,25.494,1.99125,1.21682,0.83977,0.89548,0.86619,0.91533,0.54168,1.4606,0.73513,0.76891,0.00191064,0.00191064,0.00191064
4,33.5113,1.92955,1.01306,0.83708,0.93037,0.8959,0.93932,0.58766,1.32266,0.67101,0.76679,0.0018812,0.0018812,0.0018812
5,41.4925,1.65012,0.84016,0.82359,0.93591,0.90629,0.9543,0.57887,1.37445,0.59126,0.77517,0.0018416,0.0018416,0.0018416
6,49.3302,1.57715,0.74978,0.815,0.90652,0.86396,0.93015,0.38944,2.11365,0.70717,0.81148,0.001802,0.001802,0.001802
