epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3378,1.76512,1.64318,0.83652,0.97068,0.93405,0.96319,0.51086,1.62491,0.795,0.76928,0.000664537,0.000664537,0.000664537
2,80.7862,1.48023,0.76756,0.80996,0.98036,0.94895,0.97323,0.59962,1.41914,0.58596,0.76124,0.00131802,0.00131802,0.00131802
3,118.722,1.36445,0.60412,0.80406,0.98029,0.95558,0.97659,0.7093,1.07819,0.51373,0.74622,0.00195831,0.00195831,0.00195831
4,156.629,1.30349,0.56416,0.80071,0.98304,0.95878,0.98507,0.75889,0.90777,0.47187,0.74723,0.0019406,0.0019406,0.0019406
