epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4512,1.97393,2.11117,0.85443,0.94186,0.87478,0.93669,0.62269,1.15792,1.42305,0.75429,0.000661333,0.000661333,0.000661333
2,33.147,1.67056,1.09557,0.81995,0.93725,0.912,0.95552,0.37676,2.0222,0.85159,0.79899,0.00131485,0.00131485,0.00131485
3,47.8488,1.55783,0.82732,0.81312,0.97259,0.92251,0.95927,0.52655,1.57382,0.6325,0.77182,0.00195517,0.00195517,0.00195517
4,62.5422,1.50612,0.70917,0.81285,0.98029,0.94485,0.97043,0.67698,1.15768,0.52631,0.75903,0.0019406,0.0019406,0.0019406
5,77.1666,1.41287,0.63585,0.80709,0.98647,0.94762,0.97656,0.72772,1.01227,0.47549,0.75153,0.0019208,0.0019208,0.0019208
6,91.6537,1.45398,0.63372,0.80701,0.97927,0.9447,0.9715,0.58251,1.40805,0.5837,0.77371,0.001901,0.001901,0.001901
7,105.917,1.34938,0.58099,0.80447,0.97962,0.95,0.9768,0.69231,1.12854,0.48692,0.75536,0.0018812,0.0018812,0.0018812
8,120.242,1.35469,0.57712,0.80325,0.98785,0.952,0.97383,0.74765,1.02562,0.45734,0.75844,0.0018614,0.0018614,0.0018614
9,134.58,1.2945,0.55718,0.80053,0.98835,0.954,0.97683,0.6744,1.20696,0.51963,0.75035,0.0018416,0.0018416,0.0018416
10,148.872,1.23597,0.52739,0.80176,0.97889,0.961,0.97839,0.82105,0.86287,0.43642,0.75216,0.0018218,0.0018218,0.0018218
11,163.119,1.22492,0.5278,0.798,0.98552,0.95268,0.97538,0.63836,1.33411,0.56024,0.76682,0.001802,0.001802,0.001802
12,177.395,1.26386,0.53508,0.80104,0.98537,0.946,0.97554,0.54848,1.56887,0.6244,0.76945,0.0017822,0.0017822,0.0017822
13,191.733,1.21073,0.51753,0.80013,0.98537,0.951,0.98006,0.78784,0.85423,0.43055,0.75726,0.0017624,0.0017624,0.0017624
14,206.045,1.19376,0.50636,0.79898,0.98826,0.959,0.97739,0.70724,1.07118,0.50349,0.75587,0.0017426,0.0017426,0.0017426
15,220.348,1.14817,0.49827,0.79584,0.97994,0.958,0.97889,0.87651,0.65577,0.39622,0.7514,0.0017228,0.0017228,0.0017228
16,234.568,1.09955,0.48875,0.79469,0.98556,0.95542,0.98103,0.82633,0.81168,0.42122,0.75123,0.001703,0.001703,0.001703
17,248.928,1.10527,0.491,0.79322,0.98133,0.957,0.9817,0.82517,0.85404,0.45083,0.74571,0.0016832,0.0016832,0.0016832
18,263.632,1.14631,0.49198,0.79545,0.99066,0.959,0.97972,0.82248,0.81949,0.42145,0.74586,0.0016634,0.0016634,0.0016634
19,278.083,1.12858,0.49253,0.79508,0.98834,0.959,0.98003,0.7117,1.13654,0.51892,0.76018,0.0016436,0.0016436,0.0016436
20,292.379,1.09001,0.4756,0.79443,0.99167,0.95257,0.97945,0.8474,0.77448,0.4156,0.75816,0.0016238,0.0016238,0.0016238
21,306.673,1.07806,0.47252,0.79312,0.99457,0.956,0.98106,0.78104,0.95868,0.45746,0.75524,0.001604,0.001604,0.001604
22,320.931,1.09437,0.4803,0.79298,0.99168,0.95361,0.98056,0.79284,0.85197,0.40663,0.74665,0.0015842,0.0015842,0.0015842
23,335.203,1.06797,0.4689,0.79434,0.99392,0.959,0.97887,0.7523,1.02326,0.47837,0.75411,0.0015644,0.0015644,0.0015644
24,349.464,1.06703,0.471,0.79375,0.99275,0.95855,0.9793,0.80633,0.86189,0.42987,0.74961,0.0015446,0.0015446,0.0015446
25,363.762,1.03509,0.46121,0.79368,0.99173,0.95911,0.97722,0.69863,1.09212,0.51722,0.75322,0.0015248,0.0015248,0.0015248
26,377.926,1.02589,0.45888,0.79133,0.9905,0.961,0.98292,0.72739,1.1287,0.5339,0.75376,0.001505,0.001505,0.001505
27,392.229,1.01102,0.45834,0.7931,0.99173,0.9596,0.98108,0.73272,1.02576,0.50423,0.75332,0.0014852,0.0014852,0.0014852
28,406.539,1.04025,0.46592,0.79135,0.9922,0.96,0.98323,0.82672,0.84009,0.41693,0.75054,0.0014654,0.0014654,0.0014654
29,420.863,1.0399,0.45781,0.79286,0.99244,0.958,0.98123,0.76925,0.92359,0.45267,0.75368,0.0014456,0.0014456,0.0014456
30,435.114,1.00651,0.45177,0.79107,0.9876,0.95538,0.98002,0.78844,0.96183,0.45435,0.75425,0.0014258,0.0014258,0.0014258
31,449.458,1.00198,0.4549,0.7935,0.98968,0.9587,0.98133,0.7706,0.94879,0.47486,0.7496,0.001406,0.001406,0.001406
32,463.767,1.03356,0.46378,0.79273,0.98587,0.958,0.97973,0.7049,1.12115,0.52268,0.75436,0.0013862,0.0013862,0.0013862
33,478.055,1.00726,0.45052,0.79063,0.99125,0.956,0.98159,0.84436,0.77384,0.42755,0.74699,0.0013664,0.0013664,0.0013664
