epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.24938,4.96405,3.60233,1.82534,0.26024,0.06612,0.06444,0.01682,4.41005,4.80848,1.77701,6e-05,6e-05,6e-05
2,2.08996,4.88479,3.57249,1.85811,0.205,0.06612,0.04947,0.01364,4.39794,4.0842,1.80471,0.000138614,0.000138614,0.000138614
3,3.09816,4.51754,2.84071,1.62969,0.08841,0.12397,0.05153,0.01186,4.11937,2.92463,1.73052,0.000215644,0.000215644,0.000215644
4,3.99841,4.11709,2.07223,1.64506,0.13428,0.29752,0.08198,0.01756,3.76234,2.04946,1.60689,0.00029109,0.00029109,0.00029109
5,4.85408,3.63568,1.76403,1.38219,0.17744,0.39669,0.1258,0.02635,3.52966,1.82733,1.51456,0.000364952,0.000364952,0.000364952
6,5.70995,3.38091,1.73532,1.30003,0.2522,0.39669,0.17978,0.03655,3.27924,1.70322,1.40836,0.00043723,0.00043723,0.00043723
7,6.55667,3.22883,1.58798,1.30306,0.2933,0.42975,0.21422,0.05455,3.02161,1.60606,1.32579,0.000507924,0.000507924,0.000507924
8,7.41431,3.04949,1.48211,1.25203,0.31366,0.43436,0.26463,0.07219,2.8526,1.50812,1.29435,0.000577034,0.000577034,0.000577034
9,8.28261,2.95235,1.39291,1.22637,0.36494,0.47107,0.32477,0.09113,2.74123,1.43288,1.27318,0.00064456,0.00064456,0.00064456
10,9.1387,2.74623,1.28288,1.16737,0.38499,0.52066,0.39488,0.10815,2.71067,1.33948,1.25106,0.000710502,0.000710502,0.000710502
11,9.98894,2.64525,1.28795,1.1699,0.39105,0.56198,0.40034,0.11035,2.79896,1.27043,1.26317,0.00077486,0.00077486,0.00077486
12,10.9521,2.44526,1.16563,1.11001,0.3714,0.58678,0.3993,0.11238,2.7874,1.26236,1.2559,0.000837634,0.000837634,0.000837634
13,11.8,2.43278,1.14731,1.07589,0.36594,0.56198,0.37677,0.11531,2.68086,1.26494,1.23808,0.000898824,0.000898824,0.000898824
14,12.6318,2.38386,1.16834,1.10895,0.36815,0.55372,0.36512,0.1175,2.60975,1.26437,1.22456,0.00095843,0.00095843,0.00095843
15,13.4869,2.29445,1.15402,1.07875,0.39305,0.54545,0.40856,0.14009,2.59646,1.25922,1.21417,0.00101645,0.00101645,0.00101645
16,14.3151,2.33435,1.11046,1.09026,0.39021,0.5124,0.41713,0.14696,2.59893,1.23204,1.21325,0.00107289,0.00107289,0.00107289
17,15.1433,2.28621,1.09102,1.05295,0.4838,0.54545,0.4974,0.16777,2.60352,1.19068,1.20817,0.00112774,0.00112774,0.00112774
18,15.9888,2.25301,1.06439,1.04102,0.54156,0.5124,0.4885,0.17699,2.57027,1.15805,1.20145,0.00118101,0.00118101,0.00118101
19,16.8192,2.22195,1.04984,1.05899,0.57771,0.53719,0.51566,0.19542,2.51091,1.1349,1.18717,0.0012327,0.0012327,0.0012327
20,17.6513,2.19868,1.0282,1.0367,0.62081,0.55372,0.54119,0.19279,2.48553,1.12178,1.18172,0.0012828,0.0012828,0.0012828
21,18.5057,2.24045,1.01068,1.05485,0.6431,0.52066,0.55059,0.19301,2.50558,1.10196,1.1836,0.00133132,0.00133132,0.00133132
22,19.4329,2.19306,1.00147,1.00857,0.62961,0.5124,0.54376,0.20271,2.47256,1.08042,1.16546,0.00137825,0.00137825,0.00137825
23,20.2659,2.23101,0.98955,1.05819,0.66725,0.50413,0.54791,0.21387,2.4324,1.06361,1.14921,0.0014236,0.0014236,0.0014236
24,21.1021,2.17893,0.99449,1.01078,0.68213,0.53719,0.56284,0.20826,2.41271,1.05096,1.13301,0.00146737,0.00146737,0.00146737
25,21.9301,2.14626,0.96446,1.01193,0.62208,0.53056,0.56779,0.1901,2.50135,1.06777,1.13802,0.00150955,0.00150955,0.00150955
26,22.7567,2.11022,0.92748,0.99082,0.58993,0.52893,0.50954,0.15546,2.63324,1.09817,1.1613,0.001505,0.001505,0.001505
27,23.5806,2.13338,0.94255,0.99196,0.58979,0.52893,0.50321,0.16632,2.62162,1.10905,1.15895,0.0014852,0.0014852,0.0014852
28,24.3957,2.12897,0.95058,1.01284,0.61692,0.53719,0.54871,0.18057,2.51329,1.09689,1.14211,0.0014654,0.0014654,0.0014654
29,25.2211,2.06189,0.93378,1.01843,0.59408,0.49587,0.53491,0.19266,2.41151,1.07704,1.13082,0.0014456,0.0014456,0.0014456
30,26.0417,2.09762,0.87588,0.97712,0.57445,0.53552,0.52571,0.18977,2.39885,1.08867,1.12487,0.0014258,0.0014258,0.0014258
31,26.9626,2.1117,0.91254,0.94608,0.59737,0.55372,0.5467,0.1889,2.38657,1.13511,1.11424,0.001406,0.001406,0.001406
32,27.7839,2.02015,0.90731,0.97408,0.61155,0.54545,0.5525,0.19563,2.39257,1.14819,1.10095,0.0013862,0.0013862,0.0013862
33,28.6038,2.06331,0.91797,0.99762,0.62033,0.54545,0.56969,0.20821,2.3718,1.13174,1.09515,0.0013664,0.0013664,0.0013664
34,29.4189,1.99795,0.86979,0.96862,0.62042,0.54545,0.5668,0.20807,2.35859,1.09201,1.09098,0.0013466,0.0013466,0.0013466
35,30.2383,2.02649,0.86793,0.96726,0.65605,0.4876,0.56487,0.19945,2.45991,1.08492,1.10405,0.0013268,0.0013268,0.0013268
36,31.0536,1.94656,0.85951,0.97917,0.65156,0.51,0.5682,0.19751,2.50166,1.06039,1.1054,0.001307,0.001307,0.001307
37,31.8748,2.05264,0.866,0.96834,0.72486,0.5124,0.58677,0.20121,2.50105,1.04226,1.1089,0.0012872,0.0012872,0.0012872
38,32.6963,1.95718,0.83508,0.96518,0.72713,0.5124,0.59352,0.2056,2.49448,1.02475,1.10979,0.0012674,0.0012674,0.0012674
39,33.514,1.88674,0.82358,0.94377,0.72718,0.50413,0.57653,0.21544,2.43001,1.00312,1.10077,0.0012476,0.0012476,0.0012476
40,34.3433,1.96108,0.84329,0.95349,0.7145,0.51709,0.58648,0.21786,2.42068,0.99883,1.09964,0.0012278,0.0012278,0.0012278
41,35.1632,1.9879,0.85779,0.97186,0.7244,0.52066,0.6074,0.2246,2.39565,0.98317,1.09488,0.001208,0.001208,0.001208
42,36.085,1.99606,0.85405,0.93789,0.74836,0.54074,0.61815,0.223,2.39342,0.97932,1.09175,0.0011882,0.0011882,0.0011882
43,36.9036,1.9729,0.84897,0.98639,0.75702,0.55372,0.62087,0.22211,2.38995,0.98472,1.08991,0.0011684,0.0011684,0.0011684
44,37.7245,2.00788,0.86034,0.95877,0.73859,0.53719,0.61418,0.22749,2.34239,0.97828,1.07668,0.0011486,0.0011486,0.0011486
45,38.5573,2.02315,0.86487,0.97681,0.75901,0.53719,0.61528,0.21939,2.36431,0.97069,1.08035,0.0011288,0.0011288,0.0011288
46,39.3708,1.86892,0.82897,0.94883,0.74608,0.52066,0.60121,0.2315,2.33839,0.96606,1.07868,0.001109,0.001109,0.001109
47,40.1949,1.98402,0.86703,0.97302,0.73276,0.52121,0.59353,0.24055,2.30262,0.95594,1.07649,0.0010892,0.0010892,0.0010892
48,41.02,1.94923,0.82295,0.95777,0.75126,0.52419,0.60032,0.24004,2.26574,0.94549,1.07448,0.0010694,0.0010694,0.0010694
49,41.8442,1.89763,0.83928,0.96256,0.67108,0.54545,0.60556,0.23304,2.28082,0.9496,1.07705,0.0010496,0.0010496,0.0010496
50,42.6595,1.85775,0.8284,0.94783,0.68956,0.55372,0.62494,0.22556,2.32239,0.97591,1.08559,0.0010298,0.0010298,0.0010298
51,43.4807,1.98469,0.84176,0.95441,0.68214,0.56757,0.60109,0.21634,2.35003,0.97313,1.08755,0.00101,0.00101,0.00101
52,44.2966,1.88444,0.81324,0.94528,0.67755,0.61983,0.62331,0.22175,2.3364,0.96929,1.08113,0.0009902,0.0009902,0.0009902
53,45.2081,1.90801,0.80779,0.93379,0.65286,0.60331,0.61913,0.23122,2.29857,0.97234,1.07265,0.0009704,0.0009704,0.0009704
54,46.0246,1.90623,0.82939,0.96459,0.67377,0.59742,0.60216,0.23766,2.27927,0.95994,1.06627,0.0009506,0.0009506,0.0009506
55,46.8443,1.93315,0.81388,0.95675,0.70236,0.59504,0.63355,0.23477,2.28672,0.96281,1.0632,0.0009308,0.0009308,0.0009308
