epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5206,1.60415,2.02377,0.85578,0.01429,0.43886,0.01212,0.00643,2.7325,3.61599,1.02814,0.000656085,0.000656085,0.000656085
2,19.4389,1.28593,0.95178,0.81489,0.93427,0.41717,0.49472,0.28439,2.48062,2.11814,0.98082,0.00130966,0.00130966,0.00130966
3,27.2334,1.28419,0.83159,0.80817,0.82481,0.42845,0.46078,0.27027,2.76522,1.42116,1.04442,0.00195003,0.00195003,0.00195003
4,34.9836,1.26957,0.73386,0.80627,0.8612,0.41977,0.43601,0.24463,2.92721,1.39112,1.07652,0.0019406,0.0019406,0.0019406
5,42.6273,1.13218,0.63733,0.80257,0.84943,0.45015,0.52791,0.325,2.42403,1.11441,0.99668,0.0019208,0.0019208,0.0019208
6,50.3486,1.04947,0.57198,0.79625,0.74083,0.51605,0.5725,0.33197,2.36531,1.04066,0.99337,0.001901,0.001901,0.001901
7,58.0697,1.12864,0.56428,0.80354,0.70877,0.53859,0.59731,0.34445,2.21402,1.00922,0.9679,0.0018812,0.0018812,0.0018812
8,65.924,1.06788,0.54476,0.79709,0.79861,0.56982,0.69613,0.39004,2.0327,1.01731,0.94756,0.0018614,0.0018614,0.0018614
9,73.53,0.98973,0.49665,0.79577,0.69722,0.52725,0.60681,0.37621,2.19642,1.02566,0.97164,0.0018416,0.0018416,0.0018416
10,81.272,1.00851,0.4905,0.79364,0.89949,0.46401,0.60303,0.37762,2.26794,1.21831,0.98017,0.0018218,0.0018218,0.0018218
11,88.9776,0.94861,0.45884,0.79261,0.82592,0.50997,0.62939,0.37338,2.10009,1.03088,0.96576,0.001802,0.001802,0.001802
12,96.6722,0.92965,0.45469,0.79154,0.77537,0.55982,0.69644,0.441,2.02717,1.216,0.95377,0.0017822,0.0017822,0.0017822
13,104.477,0.94827,0.45585,0.79194,0.79719,0.57329,0.70257,0.42828,1.96607,1.12241,0.94453,0.0017624,0.0017624,0.0017624
14,112.187,0.94455,0.45411,0.79281,0.84655,0.50911,0.64383,0.3985,2.07634,1.13965,0.95708,0.0017426,0.0017426,0.0017426
15,120.011,0.89405,0.42863,0.78917,0.78651,0.59431,0.71982,0.43638,1.922,0.99718,0.93815,0.0017228,0.0017228,0.0017228
16,127.669,0.90822,0.43164,0.78524,0.7532,0.59584,0.68812,0.44111,1.90686,0.98367,0.94887,0.001703,0.001703,0.001703
17,135.389,0.87585,0.41656,0.78964,0.79253,0.63943,0.72488,0.43609,1.83749,0.90862,0.93371,0.0016832,0.0016832,0.0016832
18,143.139,0.85773,0.41046,0.78888,0.77895,0.6357,0.72523,0.44061,1.81249,0.91358,0.93658,0.0016634,0.0016634,0.0016634
19,150.855,0.84685,0.41016,0.78866,0.81021,0.57936,0.69456,0.43193,1.90547,1.00241,0.94323,0.0016436,0.0016436,0.0016436
20,158.567,0.81866,0.39574,0.78566,0.84041,0.48412,0.56942,0.36686,2.219,1.22975,0.98431,0.0016238,0.0016238,0.0016238
21,166.288,0.86245,0.41618,0.78506,0.77301,0.53426,0.65101,0.43004,2.07056,1.38884,0.96213,0.001604,0.001604,0.001604
22,174.091,0.80743,0.40005,0.78382,0.80762,0.6418,0.72056,0.4489,1.72997,1.29259,0.92662,0.0015842,0.0015842,0.0015842
23,181.912,0.83425,0.40353,0.78492,0.80161,0.55247,0.67125,0.42267,2.04801,1.473,0.94896,0.0015644,0.0015644,0.0015644
24,189.713,0.79961,0.39539,0.78588,0.71928,0.62186,0.69907,0.46757,1.80303,0.93993,0.93633,0.0015446,0.0015446,0.0015446
25,197.408,0.76213,0.37623,0.78266,0.75075,0.5438,0.63882,0.41071,1.98431,0.96824,0.96226,0.0015248,0.0015248,0.0015248
26,205.116,0.75809,0.36893,0.78651,0.89141,0.52819,0.67519,0.41306,1.99193,1.25131,0.94703,0.001505,0.001505,0.001505
27,212.817,0.75915,0.37082,0.78074,0.72894,0.59063,0.70295,0.44936,1.93215,1.09829,0.94125,0.0014852,0.0014852,0.0014852
28,220.596,0.74239,0.36811,0.78346,0.76871,0.55921,0.67789,0.42487,1.99916,1.02104,0.95203,0.0014654,0.0014654,0.0014654
29,228.369,0.70495,0.35815,0.78347,0.78237,0.55681,0.66996,0.40378,2.03867,1.09812,0.95502,0.0014456,0.0014456,0.0014456
30,236.252,0.7309,0.35778,0.77993,0.76976,0.59063,0.72265,0.49087,1.79759,1.08856,0.93197,0.0014258,0.0014258,0.0014258
31,244.069,0.69628,0.34663,0.78288,0.72695,0.62446,0.72086,0.48666,1.79766,1.03292,0.93629,0.001406,0.001406,0.001406
32,252.026,0.68494,0.34428,0.78344,0.77931,0.55334,0.69825,0.46081,1.92897,1.14234,0.94703,0.0013862,0.0013862,0.0013862
33,259.874,0.64922,0.34113,0.77987,0.81795,0.57415,0.69632,0.46417,1.80684,1.02567,0.94146,0.0013664,0.0013664,0.0013664
34,267.786,0.70435,0.35369,0.78048,0.81345,0.5516,0.68594,0.46992,1.82209,1.1172,0.94086,0.0013466,0.0013466,0.0013466
35,275.64,0.68999,0.33952,0.78131,0.80674,0.56118,0.70408,0.48965,1.76534,1.23916,0.93438,0.0013268,0.0013268,0.0013268
36,283.398,0.63599,0.32452,0.78148,0.74908,0.58774,0.71144,0.50784,1.71976,1.1864,0.93183,0.001307,0.001307,0.001307
37,291.173,0.62869,0.32292,0.78101,0.76007,0.59497,0.71626,0.49895,1.79171,1.0704,0.93918,0.0012872,0.0012872,0.0012872
38,298.841,0.61185,0.32033,0.77873,0.80564,0.62966,0.71533,0.46439,1.68574,0.96548,0.92432,0.0012674,0.0012674,0.0012674
39,306.641,0.62944,0.32063,0.77899,0.83557,0.56413,0.69476,0.47309,1.78044,1.01774,0.93931,0.0012476,0.0012476,0.0012476
40,314.312,0.61996,0.3185,0.78213,0.74396,0.5915,0.6913,0.49557,1.72572,1.25228,0.93512,0.0012278,0.0012278,0.0012278
41,322.216,0.67541,0.32588,0.78074,0.82465,0.54467,0.67002,0.45036,1.88585,1.13433,0.94958,0.001208,0.001208,0.001208
42,330.026,0.65116,0.32094,0.78299,0.75512,0.58196,0.70271,0.48892,1.74038,1.25077,0.93118,0.0011882,0.0011882,0.0011882
43,337.805,0.6157,0.30976,0.78237,0.76291,0.60278,0.72509,0.46775,1.83392,1.08309,0.92697,0.0011684,0.0011684,0.0011684
44,345.455,0.59509,0.30697,0.77927,0.77691,0.57992,0.70598,0.48001,1.86027,1.13434,0.94136,0.0011486,0.0011486,0.0011486
45,353.261,0.59045,0.30231,0.77675,0.81989,0.58826,0.71786,0.49329,1.6902,0.93344,0.93092,0.0011288,0.0011288,0.0011288
46,361.082,0.56731,0.29657,0.77696,0.83891,0.5736,0.72406,0.49666,1.75889,0.96691,0.93433,0.001109,0.001109,0.001109
