epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.75546,2.65225,4.62767,1.33085,0.00028,0.00826,0.00014,3e-05,2.74961,4.68253,1.51628,6e-05,6e-05,6e-05
2,3.0604,2.68103,4.39002,1.34242,0.00472,0.1405,0.00281,0.00112,2.58879,4.1219,1.20428,0.000138614,0.000138614,0.000138614
3,4.47603,2.64337,3.33847,1.10702,0.01361,0.40496,0.01069,0.0026,3.08432,4.21795,1.16265,0.000215644,0.000215644,0.000215644
4,5.87446,2.51596,2.37594,1.07594,0.01278,0.38017,0.0092,0.00364,2.50941,3.96263,1.1556,0.00029109,0.00029109,0.00029109
5,7.22843,2.38541,2.01117,1.04875,0.01389,0.41322,0.00987,0.0028,2.69669,4.06884,1.08434,0.000364952,0.000364952,0.000364952
6,8.57223,2.20126,2.12711,1.02125,0.01278,0.38017,0.00882,0.00312,2.38177,3.92377,1.05131,0.00043723,0.00043723,0.00043723
7,9.91353,2.23027,1.88191,1.05197,0.00528,0.15702,0.00305,0.00094,2.70632,4.06313,1.08056,0.000507924,0.000507924,0.000507924
8,11.3619,2.13217,1.7695,1.00295,0,0,0,0,2.86352,4.16247,1.11585,0.000577034,0.000577034,0.000577034
9,12.7062,2.11825,1.64209,0.99315,0,0,0,0,4.37123,4.91734,1.44391,0.00064456,0.00064456,0.00064456
10,14.0566,2.13681,1.646,0.97589,0,0,0,0,4.3712,4.77814,1.64033,0.000710502,0.000710502,0.000710502
11,15.3954,2.21446,1.66903,1.00375,0.00278,0.08264,0.00152,0.00036,4.6311,5.04312,1.55658,0.00077486,0.00077486,0.00077486
12,16.7375,1.94947,1.40216,0.97496,0.00056,0.01653,0.00028,4e-05,4.96538,5.18474,1.6421,0.000837634,0.000837634,0.000837634
13,18.1198,2.04123,1.49619,0.94995,0,0,0,0,5.65685,5.62151,3.50982,0.000898824,0.000898824,0.000898824
14,19.458,1.97152,1.39835,0.97177,0,0,0,0,5.72996,6.89697,4.01493,0.00095843,0.00095843,0.00095843
15,20.9207,1.94904,1.41953,0.97686,0,0,0,0,5.12436,5.20084,3.09932,0.00101645,0.00101645,0.00101645
16,22.2543,1.99661,1.43073,0.98548,0.00139,0.04132,0.00075,0.00015,4.57128,4.61586,2.13021,0.00107289,0.00107289,0.00107289
17,23.5636,2.06196,1.50101,0.99105,0.00056,0.01653,0.00029,6e-05,4.91424,4.65734,2.35057,0.00112774,0.00112774,0.00112774
18,24.9112,2.03471,1.44107,0.97109,0.00667,0.19835,0.00447,0.0014,2.6143,3.6036,1.17564,0.00118101,0.00118101,0.00118101
19,26.2224,2.12217,1.43613,1.024,0.00861,0.2562,0.01159,0.00246,2.60261,3.53152,1.18288,0.0012327,0.0012327,0.0012327
20,27.6341,2.07998,1.3933,1.00136,0.005,0.14876,0.0034,0.00098,3.15702,3.69165,1.33199,0.0012828,0.0012828,0.0012828
21,28.9805,2.10032,1.34877,0.99282,0.01167,0.34711,0.0186,0.00458,3.18895,3.33045,1.41057,0.00133132,0.00133132,0.00133132
22,30.3076,2.02215,1.27984,0.95876,0.00917,0.27273,0.01523,0.00296,3.9621,3.3173,1.6324,0.00137825,0.00137825,0.00137825
23,31.6347,2.03574,1.44852,0.99554,0.01028,0.30579,0.06554,0.01192,4.00227,3.23534,1.61231,0.0014236,0.0014236,0.0014236
24,32.9677,2.0807,1.30615,1.00002,0.01583,0.47107,0.10968,0.02406,3.72308,3.1555,1.46263,0.00146737,0.00146737,0.00146737
25,34.299,1.87901,1.27259,0.95868,0.01667,0.49587,0.14537,0.02823,3.63625,3.0459,1.41251,0.00150955,0.00150955,0.00150955
26,35.7264,1.98291,1.28189,0.94833,0.02182,0.58678,0.33096,0.0821,3.02963,2.64891,1.23781,0.001505,0.001505,0.001505
27,37.0606,2.04609,1.23237,0.95952,0.79094,0.15636,0.44685,0.15791,2.35486,2.32316,1.09211,0.0014852,0.0014852,0.0014852
28,38.3907,1.96302,1.22176,0.96673,0.64088,0.1623,0.35962,0.10938,2.44011,2.33788,1.1021,0.0014654,0.0014654,0.0014654
29,39.7095,1.9614,1.24689,0.97611,0.31718,0.18182,0.18462,0.04794,3.11276,2.29778,1.30979,0.0014456,0.0014456,0.0014456
30,41.0305,1.9037,1.16633,0.93382,0.32215,0.33058,0.21943,0.04475,3.29789,2.07309,1.36648,0.0014258,0.0014258,0.0014258
31,42.4389,2.02468,1.17697,0.92763,0.45484,0.34711,0.29516,0.07451,2.97816,1.83009,1.25259,0.001406,0.001406,0.001406
32,43.7591,1.92159,1.25784,0.94255,0.64117,0.4876,0.47811,0.15094,2.39665,1.60296,1.10209,0.0013862,0.0013862,0.0013862
33,45.0771,1.90159,1.11553,0.96623,0.66771,0.4876,0.50749,0.17105,2.32559,1.53904,1.09217,0.0013664,0.0013664,0.0013664
34,46.4046,1.86542,1.10699,0.93331,0.68077,0.49349,0.50476,0.16686,2.36636,1.49368,1.10968,0.0013466,0.0013466,0.0013466
35,47.7276,1.89053,1.12293,0.93637,0.54115,0.45455,0.41272,0.11781,2.71917,1.56876,1.21205,0.0013268,0.0013268,0.0013268
36,49.0436,1.78018,1.09698,0.94468,0.65138,0.4876,0.50445,0.15009,2.52649,1.46533,1.15304,0.001307,0.001307,0.001307
37,50.4589,1.97481,1.07886,0.95518,0.63929,0.54545,0.50296,0.16709,2.4542,1.37325,1.12003,0.0012872,0.0012872,0.0012872
38,51.7782,1.87997,1.08717,0.94966,0.58302,0.53719,0.47528,0.12702,2.70272,1.39296,1.15821,0.0012674,0.0012674,0.0012674
39,53.0926,1.83087,1.10974,0.93027,0.60564,0.49587,0.46315,0.11895,2.8128,1.40429,1.18295,0.0012476,0.0012476,0.0012476
40,54.4141,1.85871,1.07083,0.92852,0.68742,0.57851,0.59729,0.18826,2.36359,1.29887,1.07945,0.0012278,0.0012278,0.0012278
