epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9669,1.76512,1.64318,0.83652,0.97068,0.93405,0.96319,0.51086,1.62491,0.795,0.76928,0.000664537,0.000664537,0.000664537
2,106.183,1.48023,0.76756,0.80996,0.98036,0.94895,0.97323,0.59962,1.41914,0.58596,0.76124,0.00131802,0.00131802,0.00131802
3,149.347,1.36445,0.60412,0.80406,0.98029,0.95558,0.97659,0.7093,1.07819,0.51373,0.74622,0.00195831,0.00195831,0.00195831
4,192.068,1.30349,0.56416,0.80071,0.98304,0.95878,0.98507,0.75889,0.90777,0.47187,0.74723,0.0019406,0.0019406,0.0019406
5,233.001,1.29329,0.54739,0.80275,0.98858,0.95378,0.98142,0.75179,0.94903,0.44591,0.75155,0.0019208,0.0019208,0.0019208
6,271.34,1.22384,0.52073,0.79952,0.9857,0.95698,0.98195,0.66606,1.34337,0.55168,0.75921,0.001901,0.001901,0.001901
7,313.355,1.16805,0.50588,0.79697,0.99012,0.96267,0.98512,0.81065,0.86579,0.43833,0.74878,0.0018812,0.0018812,0.0018812
8,353.683,1.12228,0.49119,0.79589,0.98634,0.9676,0.98762,0.81496,0.80665,0.43638,0.74843,0.0018614,0.0018614,0.0018614
9,392.511,1.12433,0.49393,0.79553,0.98621,0.96339,0.98655,0.67546,1.17965,0.53258,0.75536,0.0018416,0.0018416,0.0018416
10,430.538,1.08119,0.47641,0.79409,0.9861,0.96639,0.98636,0.63185,1.44453,0.58161,0.76488,0.0018218,0.0018218,0.0018218
11,468.702,1.08662,0.47487,0.79402,0.99237,0.96309,0.98748,0.86668,0.68241,0.40409,0.74185,0.001802,0.001802,0.001802
12,507.016,1.03332,0.46243,0.79171,0.9886,0.96779,0.98801,0.79137,0.89437,0.44511,0.75635,0.0017822,0.0017822,0.0017822
13,547.17,1.03662,0.46652,0.79089,0.99259,0.96479,0.9869,0.8517,0.81823,0.43282,0.74431,0.0017624,0.0017624,0.0017624
14,601.1,1.0165,0.45775,0.7918,0.99253,0.96599,0.98839,0.81536,0.88184,0.46329,0.74533,0.0017426,0.0017426,0.0017426
15,646.552,0.99016,0.45154,0.78915,0.99058,0.96786,0.98836,0.72213,1.09881,0.49906,0.75524,0.0017228,0.0017228,0.0017228
