epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.85358,1.39175,8.00076,0,2.02653,1.62961,0.52771,0.4315,0.50611,0.43285,0,0,0,0,0.71746,7.52815,0,2.25617,1.50547,6e-05,6e-05,6e-05
2,5.82565,1.25541,7.78188,0,1.74565,1.53552,0.99622,1,0.995,0.90735,0,0,0,0,0.43741,7.50423,0,0.29872,1.05208,0.00013307,0.00013307,0.00013307
3,7.71002,0.46783,7.49316,0,0.47997,1.08492,0.99623,1,0.995,0.96379,0,0,0,0,0.30156,7.37014,0,0.35394,0.96359,0.00019822,0.00019822,0.00019822
4,9.09229,0.39148,6.89291,0,0.35408,1.00863,0.99282,1,0.995,0.95441,0,0,0,0,0.25747,7.13755,0,0.28036,0.93122,0.00025545,0.00025545,0.00025545
5,10.0138,0.355,6.19622,0,0.33379,1.00068,0.99418,1,0.995,0.95632,0,0,0,0,0.29322,7.12068,0,0.3234,0.94614,0.00030476,0.00030476,0.00030476
6,11.2311,0.3519,6.11874,0,0.32872,0.99942,0.99307,1,0.995,0.92147,0,0,0,0,0.39839,7.17654,0,0.48776,1.00832,0.00034615,0.00034615,0.00034615
7,11.9691,0.35063,5.86595,0,0.3326,0.98778,0.98008,1,0.995,0.97949,0,0,0,0,0.35395,6.82282,0,0.70882,1.03305,0.00037962,0.00037962,0.00037962
8,12.7431,0.30536,5.52466,0,0.34512,0.97971,0.97125,1,0.995,0.995,0,0,0,0,0.22627,6.46201,0,0.63556,0.88647,0.00040517,0.00040517,0.00040517
9,13.4766,0.31021,5.7518,0,0.33803,0.93995,0.96014,1,0.995,0.89814,0,0,0,0,0.51345,6.26654,0,1.2625,1.17372,0.0004228,0.0004228,0.0004228
10,14.209,0.31556,5.26734,0,0.3185,0.97964,0.83837,1,0.995,0.92491,0,0,0,0,0.38881,5.86647,0,1.36075,1.06364,0.00043251,0.00043251,0.00043251
11,17.9346,0.36771,5.4704,0,0.44865,1.00946,1,1,0.995,0.89125,0,0,0,0,0.5073,5.70359,0,0.91005,1.30507,0.0004343,0.0004343,0.0004343
12,19.6016,0.29614,5.20071,0,0.30564,0.98878,1,1,0.995,0.909,0,0,0,0,0.52268,5.32184,0,0.98159,1.32374,0.00042817,0.00042817,0.00042817
13,21.1257,0.27344,4.62974,0,0.2712,0.96958,1,1,0.995,0.94524,0.07692,0.07692,0.01946,0.00195,0.35007,5.23285,0,0.90666,1.08584,0.00041412,0.00041412,0.00041412
14,22.7782,0.27997,4.97231,0,0.26298,0.96817,1,1,0.995,0.96616,0.15385,0.15385,0.0521,0.00521,0.31765,5.24742,0,0.86543,1.04281,0.00039215,0.00039215,0.00039215
15,24.2583,0.26945,4.77766,0,0.27441,0.91956,1,1,0.995,0.92318,0.07692,0.07692,0.02121,0.00636,0.37177,5.02922,0,0.85223,1.10488,0.00036226,0.00036226,0.00036226
16,24.9517,0.25256,4.89118,0,0.25487,0.92483,1,1,0.995,0.92444,0.07692,0.07692,0.02905,0.00581,0.38687,4.9257,0,0.74699,1.1155,0.00032445,0.00032445,0.00032445
17,25.7195,0.24381,4.79256,0,0.23491,0.91381,0.99633,1,0.995,0.91585,0.30656,0.30769,0.14751,0.01947,0.3739,4.82507,0,0.65204,1.06708,0.00027872,0.00027872,0.00027872
18,26.4345,0.2395,4.45054,0,0.23474,0.88124,0.99636,1,0.995,0.9709,0.76643,0.76923,0.74754,0.10006,0.30809,4.73068,0,0.45683,0.98603,0.00022507,0.00022507,0.00022507
19,27.1598,0.21644,4.7627,0,0.22782,0.91067,0.99636,1,0.995,0.97367,0.76643,0.76923,0.71418,0.10788,0.27688,4.55794,0,0.36879,0.93986,0.0001635,0.0001635,0.0001635
20,27.9029,0.22203,4.85681,0,0.22491,0.90805,0.9964,1,0.995,0.9718,0.53652,0.53846,0.40916,0.07307,0.25484,4.6639,0,0.31367,0.91066,9.401e-05,9.401e-05,9.401e-05
