epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6681,2.4853,2.98277,0.94341,0.02523,0.75776,0.02605,0.00823,2.65702,3.42406,0.90402,0.000656085,0.000656085,0.000656085
2,19.6932,1.96785,1.42283,0.83275,0.85731,0.84803,0.88709,0.44134,1.74323,1.28617,0.78213,0.00129656,0.00129656,0.00129656
3,27.5511,1.99125,1.21682,0.83977,0.89548,0.86619,0.91533,0.54168,1.4606,0.73513,0.76891,0.00191064,0.00191064,0.00191064
4,35.2729,1.92955,1.01306,0.83708,0.93037,0.8959,0.93932,0.58766,1.32266,0.67101,0.76679,0.0018812,0.0018812,0.0018812
5,43.0344,1.65012,0.84016,0.82359,0.93591,0.90629,0.9543,0.57887,1.37445,0.59126,0.77517,0.0018416,0.0018416,0.0018416
6,50.8203,1.57715,0.74978,0.815,0.90652,0.86396,0.93015,0.38944,2.11365,0.70717,0.81148,0.001802,0.001802,0.001802
7,58.6955,1.51973,0.69712,0.81535,0.95093,0.91391,0.96336,0.70364,1.03523,0.50272,0.76333,0.0017624,0.0017624,0.0017624
8,66.398,1.45362,0.64634,0.8097,0.97478,0.91491,0.96324,0.6096,1.38044,0.5591,0.77149,0.0017228,0.0017228,0.0017228
9,74.3133,1.44884,0.62481,0.80893,0.93054,0.92292,0.96437,0.63646,1.33054,0.52018,0.77457,0.0016832,0.0016832,0.0016832
10,82.1416,1.4263,0.61112,0.81115,0.9576,0.91491,0.97104,0.75862,0.91493,0.46235,0.75869,0.0016436,0.0016436,0.0016436
11,90.1119,1.41164,0.61193,0.80991,0.96539,0.92152,0.9631,0.66383,1.15841,0.49791,0.76239,0.001604,0.001604,0.001604
12,98.1167,1.37643,0.59691,0.8092,0.94879,0.8989,0.96793,0.53886,1.67989,0.59376,0.78924,0.0015644,0.0015644,0.0015644
13,106.006,1.33877,0.58516,0.80439,0.97469,0.93093,0.97164,0.77433,0.89552,0.44134,0.75555,0.0015248,0.0015248,0.0015248
14,114.006,1.36079,0.57714,0.80698,0.98293,0.92225,0.97145,0.67472,1.15057,0.51138,0.76443,0.0014852,0.0014852,0.0014852
15,121.823,1.23232,0.54549,0.80264,0.9732,0.91892,0.97067,0.64458,1.2684,0.53079,0.76431,0.0014456,0.0014456,0.0014456
16,130.492,1.24755,0.53696,0.80266,0.97528,0.92593,0.97602,0.74743,0.94893,0.46799,0.75938,0.001406,0.001406,0.001406
17,138.434,1.30854,0.54428,0.80559,0.98013,0.91692,0.97129,0.65467,1.24666,0.52012,0.77474,0.0013664,0.0013664,0.0013664
18,146.214,1.26125,0.5357,0.80608,0.95463,0.92693,0.97178,0.60502,1.41306,0.54906,0.77272,0.0013268,0.0013268,0.0013268
19,154.11,1.19787,0.5282,0.80138,0.9682,0.92993,0.97536,0.71484,1.04809,0.45242,0.76459,0.0012872,0.0012872,0.0012872
20,161.969,1.18927,0.51713,0.80315,0.97575,0.92634,0.97575,0.78435,0.83234,0.40752,0.75686,0.0012476,0.0012476,0.0012476
21,169.754,1.05572,0.48199,0.80104,0.98791,0.92893,0.98135,0.83559,0.74574,0.39344,0.7575,0.001208,0.001208,0.001208
