epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2295,1.7679,1.90216,0.83893,0.98983,0.30743,0.31768,0.19751,1.38129,0.76606,0.76028,0.000474812,0.000474812,0.000474812
2,82.6646,1.54024,1.01023,0.81385,0.98989,0.31426,0.32379,0.24551,0.96518,0.49496,0.74587,0.000941729,0.000941729,0.000941729
3,122.948,1.47516,0.78055,0.80976,0.99354,0.31389,0.32396,0.22576,1.09887,0.54529,0.74943,0.00139921,0.00139921,0.00139921
4,161.711,1.42825,0.69342,0.80774,0.99373,0.3167,0.32688,0.23644,1.10604,0.499,0.74819,0.00138656,0.00138656,0.00138656
5,200.713,1.3433,0.65024,0.80389,0.99309,0.31844,0.32602,0.24987,0.94647,0.45526,0.75467,0.00137241,0.00137241,0.00137241
6,240.667,1.31656,0.61461,0.80342,0.99375,0.31993,0.32741,0.23032,1.20227,0.53142,0.75423,0.00135826,0.00135826,0.00135826
7,281.258,1.22875,0.58695,0.79984,0.99504,0.31797,0.3271,0.22305,1.27934,0.59587,0.75372,0.00134412,0.00134412,0.00134412
8,320.473,1.21302,0.57915,0.79971,0.99548,0.3204,0.32777,0.28097,0.76534,0.4306,0.74849,0.00132997,0.00132997,0.00132997
