epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2503,1.76512,1.64318,0.83652,0.97068,0.93405,0.96319,0.51086,1.62491,0.795,0.76928,0.000664537,0.000664537,0.000664537
2,83.3142,1.48023,0.76756,0.80996,0.98036,0.94895,0.97323,0.59962,1.41914,0.58596,0.76124,0.00131802,0.00131802,0.00131802
3,124.824,1.36445,0.60412,0.80406,0.98029,0.95558,0.97659,0.7093,1.07819,0.51373,0.74622,0.00195831,0.00195831,0.00195831
4,168.685,1.30349,0.56416,0.80071,0.98304,0.95878,0.98507,0.75889,0.90777,0.47187,0.74723,0.0019406,0.0019406,0.0019406
5,210.608,1.29329,0.54739,0.80275,0.98858,0.95378,0.98142,0.75179,0.94903,0.44591,0.75155,0.0019208,0.0019208,0.0019208
6,248.107,1.22384,0.52073,0.79952,0.9857,0.95698,0.98195,0.66606,1.34337,0.55168,0.75921,0.001901,0.001901,0.001901
7,285.989,1.16805,0.50588,0.79697,0.99012,0.96267,0.98512,0.81065,0.86579,0.43833,0.74878,0.0018812,0.0018812,0.0018812
8,323.297,1.12228,0.49119,0.79589,0.98634,0.9676,0.98762,0.81496,0.80665,0.43638,0.74843,0.0018614,0.0018614,0.0018614
